
[00:00:00.000 --> 00:00:01.400]   Message publicitaire.
[01:09:51.500 --> 01:09:52.420]   non mais à partir du moment
[01:09:52.420 --> 01:09:52.860]   où tu danses
[01:09:52.860 --> 01:09:53.240]   c'est cool
[01:09:53.240 --> 01:09:53.800]   bah oui
[01:09:53.800 --> 01:09:54.660]   d'ailleurs
[01:09:54.660 --> 01:09:55.560]   alors on danse
[01:09:55.560 --> 01:09:56.360]   comme le disait
[01:09:56.360 --> 01:09:56.760]   Stromae
[01:09:56.760 --> 01:09:57.740]   maestro
[01:09:57.740 --> 01:09:58.800]   en verlan
[01:09:58.800 --> 01:10:00.760]   histoire de Covid
[01:10:00.760 --> 01:10:01.940]   un allemand
[01:10:01.940 --> 01:10:03.000]   a été interpellé
[01:10:03.000 --> 01:10:03.600]   à votre avis
[01:10:03.600 --> 01:10:04.400]   pour quelle raison
[01:10:04.400 --> 01:10:05.160]   alors c'est lié au Covid
[01:10:05.160 --> 01:10:05.960]   bah oui là du coup
[01:10:05.960 --> 01:10:06.520]   c'est la petite question
[01:10:06.520 --> 01:10:07.460]   d'Adrien
[01:10:07.460 --> 01:10:10.600]   je m'étais permis de vous
[01:10:10.600 --> 01:10:12.340]   histoire de Covid
[01:10:12.340 --> 01:10:12.860]   un allemand
[01:10:12.860 --> 01:10:14.060]   on a très peu d'indices
[01:10:14.060 --> 01:10:14.800]   non j'ai l'impression
[01:10:14.800 --> 01:10:15.500]   oui mais ça permet
[01:10:15.500 --> 01:10:16.320]   de poser beaucoup de questions
[01:10:16.320 --> 01:10:17.560]   et de faire vivre un petit peu
[01:10:17.560 --> 01:10:18.760]   je pense à l'auditeur
[01:10:18.760 --> 01:10:19.740]   c'est pas sa première émission
[01:10:19.740 --> 01:10:20.920]   tu vas pas lui apprendre son taf
[01:10:20.920 --> 01:10:21.480]   ah
[01:10:21.480 --> 01:10:22.320]   je sais
[01:10:22.320 --> 01:10:23.400]   t'as vu le film Top Gun
[01:10:23.400 --> 01:10:25.100]   et bah si le top
[01:10:25.100 --> 01:10:25.820]   si les avions
[01:10:25.820 --> 01:10:26.580]   ah oui c'est ça
[01:10:26.580 --> 01:10:27.200]   le truc génial
[01:10:27.200 --> 01:10:27.780]   que j'ai vu l'année dernière
[01:10:27.780 --> 01:10:28.720]   et bah moi je suis Tom Cruise
[01:10:28.720 --> 01:10:29.100]   mon pote
[01:10:29.100 --> 01:10:30.260]   et moi je suis l'autre gars
[01:10:30.260 --> 01:10:30.700]   et qui est Val Kilmer
[01:10:30.700 --> 01:10:31.340]   Val Kilmer
[01:10:31.340 --> 01:10:32.680]   c'est Iceman
[01:10:32.680 --> 01:10:33.580]   c'est Iceman
[01:10:33.580 --> 01:10:34.980]   mais je crois que cette analogie
[01:10:34.980 --> 01:10:36.160]   était complètement improvisée
[01:10:36.160 --> 01:10:37.000]   je l'ai beaucoup travaillé
[01:10:37.000 --> 01:10:37.860]   comme ça pouvait se sentir
[01:10:37.860 --> 01:10:39.120]   un allemand
[01:10:39.120 --> 01:10:40.020]   est culpé dans le Covid
[01:10:40.020 --> 01:10:41.840]   parce qu'il a créé
[01:10:41.840 --> 01:10:42.480]   le Covid
[01:10:42.480 --> 01:10:43.800]   en rapport avec
[01:10:43.800 --> 01:10:45.640]   avec le vaccin
[01:10:45.640 --> 01:10:46.240]   oui
[01:10:46.240 --> 01:10:47.100]   en rapport avec le vaccin
[01:10:47.100 --> 01:10:48.280]   il faisait des faux vaccins
[01:10:48.280 --> 01:10:48.820]   non
[01:10:48.820 --> 01:10:50.000]   il s'est trop vacciné
[01:10:50.000 --> 01:10:50.920]   il a pris tous les créneaux
[01:10:50.920 --> 01:10:51.460]   de vaccination
[01:10:51.460 --> 01:10:52.460]   mais on l'a déjà eu
[01:10:52.460 --> 01:10:53.300]   écoute
[01:10:53.300 --> 01:10:54.180]   il s'est vacciné en 2000
[01:10:54.180 --> 01:10:55.040]   calme toi
[01:10:55.040 --> 01:10:56.340]   alors c'est pas
[01:10:56.340 --> 01:10:57.300]   c'est pas vraiment ça
[01:10:57.300 --> 01:10:58.720]   il a pas pris tous les créneaux
[01:10:58.720 --> 01:10:59.620]   ça va ?
[01:10:59.620 --> 01:11:00.900]   ça va vous allez bien ?
[01:11:00.900 --> 01:11:01.360]   ça va
[01:11:01.360 --> 01:11:02.920]   tu lui parlais
[01:11:02.920 --> 01:11:03.620]   et il avait vraiment
[01:11:03.620 --> 01:11:04.760]   la tête tournée
[01:11:04.760 --> 01:11:06.160]   à l'opposé de toi
[01:11:06.160 --> 01:11:08.740]   c'est désolé
[01:11:08.740 --> 01:11:09.300]   c'est visuel
[01:11:09.300 --> 01:11:10.100]   mais c'était vraiment drôle
[01:11:10.100 --> 01:11:11.000]   donc
[01:11:11.000 --> 01:11:12.000]   cet allemand
[01:11:12.000 --> 01:11:12.900]   il a pas pris
[01:11:12.900 --> 01:11:13.960]   trop de créneaux de vaccination
[01:11:13.960 --> 01:11:15.600]   il s'est trop vacciné
[01:11:15.600 --> 01:11:16.060]   ah oui c'est ça
[01:11:16.060 --> 01:11:17.720]   mais pour une raison particulière
[01:11:17.720 --> 01:11:18.180]   la dernière fois
[01:11:18.180 --> 01:11:18.560]   il s'était juste
[01:11:18.560 --> 01:11:19.180]   beaucoup vacciné
[01:11:19.180 --> 01:11:20.520]   par peur de choper le Covid
[01:11:20.520 --> 01:11:21.440]   c'était un brésilien
[01:11:21.440 --> 01:11:22.520]   comment il se vaccine beaucoup
[01:11:22.520 --> 01:11:24.100]   comment il choisit sa quantité
[01:11:24.100 --> 01:11:26.040]   est-ce qu'il avait pris
[01:11:26.040 --> 01:11:27.500]   plusieurs rendez-vous
[01:11:27.500 --> 01:11:28.100]   pour être sûr
[01:11:28.100 --> 01:11:28.860]   d'en avoir un
[01:11:28.860 --> 01:11:30.340]   et ils ont tous été
[01:11:30.340 --> 01:11:30.840]   validés
[01:11:30.840 --> 01:11:31.760]   il a plusieurs personnalités
[01:11:31.760 --> 01:11:32.740]   et il oubliait
[01:11:32.740 --> 01:11:33.680]   non ce n'est pas possible
[01:11:33.680 --> 01:11:34.880]   non non
[01:11:34.880 --> 01:11:35.820]   ce n'est pas possible
[01:11:35.820 --> 01:11:36.560]   c'est pas qu'un oeil
[01:11:36.560 --> 01:11:38.200]   peut-être c'est un pompier
[01:11:38.200 --> 01:11:38.620]   ou quelqu'un
[01:11:38.620 --> 01:11:39.380]   qui fait les vaccins
[01:11:39.380 --> 01:11:39.780]   donc comme ça
[01:11:39.780 --> 01:11:40.560]   il pouvait prendre des doses
[01:11:40.560 --> 01:11:41.040]   pour lui
[01:11:41.040 --> 01:11:41.340]   non non
[01:11:41.340 --> 01:11:42.240]   ça pourrait
[01:11:42.240 --> 01:11:42.780]   mais là l'idée
[01:11:42.780 --> 01:11:43.640]   c'est surtout de dire
[01:11:43.640 --> 01:11:44.720]   c'est comment dire
[01:11:44.720 --> 01:11:45.980]   il l'a fait dans un but
[01:11:45.980 --> 01:11:46.680]   particulier
[01:11:46.680 --> 01:11:47.720]   de se faire vacciner
[01:11:47.720 --> 01:11:48.880]   je vais vous dire le chiffre
[01:11:48.880 --> 01:11:49.820]   87 fois
[01:11:49.820 --> 01:11:50.580]   il voulait prouver
[01:11:50.580 --> 01:11:51.740]   comment il s'est fait vacciner
[01:11:51.740 --> 01:11:52.140]   87 fois
[01:11:52.140 --> 01:11:52.540]   il voulait prouver
[01:11:52.540 --> 01:11:53.380]   que c'était inoffensif
[01:11:53.380 --> 01:11:53.780]   non
[01:11:53.780 --> 01:11:54.380]   si
[01:11:54.380 --> 01:11:54.780]   non
[01:11:54.780 --> 01:11:55.340]   ok
[01:11:55.340 --> 01:11:57.680]   alors comment il a fait
[01:11:57.680 --> 01:11:59.320]   ça je vais te le dire après
[01:11:59.320 --> 01:11:59.780]   mais il faut d'abord
[01:11:59.780 --> 01:12:00.160]   me dire
[01:12:00.160 --> 01:12:00.980]   pourquoi il l'a fait
[01:12:00.980 --> 01:12:02.600]   ça ne va pas vous aider
[01:12:02.600 --> 01:12:02.940]   que je vous dise
[01:12:02.940 --> 01:12:03.500]   comment il l'a fait
[01:12:03.500 --> 01:12:03.920]   c'est ça que je veux dire
[01:12:03.920 --> 01:12:05.640]   il avait un but
[01:12:05.640 --> 01:12:06.440]   dans tout ça
[01:12:06.440 --> 01:12:07.180]   pensez
[01:12:07.180 --> 01:12:07.840]   quand on se fait vacciner
[01:12:07.840 --> 01:12:08.640]   comment ça s'est passé
[01:12:08.640 --> 01:12:09.020]   les vaccins
[01:12:09.020 --> 01:12:09.380]   souvenez-vous
[01:12:09.380 --> 01:12:10.000]   il était amoureux
[01:12:10.000 --> 01:12:11.300]   de l'infirmier
[01:12:11.300 --> 01:12:12.900]   pièce de théâtre
[01:12:12.900 --> 01:12:13.560]   que je suis en train d'écrire
[01:12:13.560 --> 01:12:14.740]   c'est ça
[01:12:14.740 --> 01:12:15.300]   non mais c'est ça
[01:12:15.300 --> 01:12:15.900]   non c'est pas ça
[01:12:15.900 --> 01:12:17.340]   mais je ne sais pas
[01:12:17.340 --> 01:12:17.900]   vous ne l'avez pas vu
[01:12:17.900 --> 01:12:18.860]   mais j'ai tout chopé à la gorge
[01:12:18.860 --> 01:12:19.320]   je crois qu'il a demandé
[01:12:19.320 --> 01:12:19.640]   c'est ça
[01:12:19.640 --> 01:12:20.980]   j'étais au vaccinodrome
[01:12:20.980 --> 01:12:22.060]   c'est vrai
[01:12:22.060 --> 01:12:22.920]   j'étais au vaccinodrome
[01:12:22.920 --> 01:12:24.640]   au stade de France
[01:12:24.640 --> 01:12:25.600]   oui j'étais au stade de France
[01:12:25.600 --> 01:12:26.160]   c'était le seul endroit
[01:12:26.160 --> 01:12:26.940]   où je trouvais des créneaux
[01:12:26.940 --> 01:12:28.280]   le dimanche matin à 8h
[01:12:28.280 --> 01:12:29.600]   il n'y avait pas la queue
[01:12:29.600 --> 01:12:30.480]   c'était magnifique
[01:12:30.480 --> 01:12:31.380]   et puis j'adorais
[01:12:31.380 --> 01:12:32.020]   j'ai fait plein de photos
[01:12:32.020 --> 01:12:33.580]   ça fait des souvenirs
[01:12:33.580 --> 01:12:35.140]   c'est le stade de France en plus
[01:12:35.140 --> 01:12:36.160]   on ne le voit pas tous les jours
[01:12:36.160 --> 01:12:36.940]   il y avait quand même Zizou
[01:12:36.940 --> 01:12:37.560]   à une époque là-bas
[01:12:37.560 --> 01:12:38.520]   et pas que
[01:12:38.520 --> 01:12:40.020]   putain
[01:12:40.020 --> 01:12:42.280]   je vois l'expert en foot
[01:12:42.280 --> 01:12:43.060]   à ma table
[01:12:43.060 --> 01:12:44.020]   et pas que Zizou
[01:12:47.340 --> 01:12:48.660]   ça et Picasso
[01:12:48.660 --> 01:12:52.740]   il y allait pour faire un truc gratuit
[01:12:52.740 --> 01:12:53.680]   j'allais dire manger
[01:12:53.680 --> 01:12:54.440]   mais il n'y a rien à manger
[01:12:54.440 --> 01:12:55.360]   non c'est pour le après
[01:12:55.360 --> 01:12:56.060]   pensez au après
[01:12:56.060 --> 01:12:57.000]   quand on se faisait vacciner
[01:12:57.000 --> 01:12:57.460]   ça se passe comment
[01:12:57.460 --> 01:12:57.780]   t'arrives
[01:12:57.780 --> 01:12:59.460]   il y a les 15 minutes
[01:12:59.460 --> 01:12:59.880]   t'attends
[01:12:59.880 --> 01:13:00.780]   et après
[01:13:00.780 --> 01:13:01.740]   et on attend un quart d'heure
[01:13:01.740 --> 01:13:02.800]   et après tu te fais vacciner
[01:13:02.800 --> 01:13:03.580]   et après
[01:13:03.580 --> 01:13:06.300]   on te tamponne
[01:13:06.300 --> 01:13:06.620]   t'as un petit papier
[01:13:06.620 --> 01:13:07.380]   t'as un papier
[01:13:07.380 --> 01:13:08.040]   t'as un papier
[01:13:08.040 --> 01:13:09.360]   il adore le papier
[01:13:09.360 --> 01:13:10.620]   c'est un fan de papier
[01:13:10.620 --> 01:13:12.300]   et après il revendait les papiers
[01:13:12.300 --> 01:13:14.780]   et du coup il revendait les passes
[01:13:14.780 --> 01:13:15.860]   il vendait
[01:13:15.860 --> 01:13:17.320]   les cercles
[01:13:17.340 --> 01:13:17.880]   il vendait les certificats
[01:13:17.880 --> 01:13:19.120]   complets de vaccination
[01:13:19.120 --> 01:13:19.880]   à des gens
[01:13:19.880 --> 01:13:20.740]   qui ne voulaient pas
[01:13:20.740 --> 01:13:22.120]   se faire vacciner
[01:13:22.120 --> 01:13:23.640]   en retraçant difficilement
[01:13:23.640 --> 01:13:24.620]   le parcours de vaccination
[01:13:24.620 --> 01:13:25.340]   de cet habitant
[01:13:25.340 --> 01:13:26.100]   du Magdebourg
[01:13:26.100 --> 01:13:27.040]   la capitale du land
[01:13:27.040 --> 01:13:28.460]   de Saxe-Anelte
[01:13:28.460 --> 01:13:29.660]   aucun mot n'est bien dit
[01:13:29.660 --> 01:13:30.460]   je préfère vous le dire tout de suite
[01:13:30.460 --> 01:13:31.060]   s'il y a des allemands
[01:13:31.060 --> 01:13:32.380]   les autorités sanitaires
[01:13:32.380 --> 01:13:33.060]   ont constaté que l'homme
[01:13:33.060 --> 01:13:33.640]   a parfois reçu
[01:13:33.640 --> 01:13:35.120]   jusqu'à 3 doses de vaccin par jour
[01:13:35.120 --> 01:13:35.920]   pour que ça passe inaperçu
[01:13:35.920 --> 01:13:36.680]   il se rendait dans des centres
[01:13:36.680 --> 01:13:37.640]   de vaccination différents
[01:13:37.640 --> 01:13:38.500]   donc en fait
[01:13:38.500 --> 01:13:39.020]   il le faisait
[01:13:39.020 --> 01:13:40.220]   presque légalement
[01:13:40.220 --> 01:13:41.460]   il changeait régulièrement
[01:13:41.460 --> 01:13:42.620]   mais attends c'est impossible
[01:13:42.620 --> 01:13:43.920]   parce que c'était contrôlé
[01:13:43.920 --> 01:13:44.840]   quand t'arrives
[01:13:44.840 --> 01:13:45.620]   en Allemagne
[01:13:45.620 --> 01:13:46.060]   je sais pas
[01:13:46.060 --> 01:13:47.040]   il aurait démarré
[01:13:47.040 --> 01:13:48.020]   sa petite entreprise
[01:13:48.020 --> 01:13:48.680]   ah oui remarque
[01:13:48.680 --> 01:13:49.520]   je connais pas la crise
[01:13:49.520 --> 01:13:50.000]   bien sûr
[01:13:50.000 --> 01:13:51.440]   c'est mon imitation de Bachogne
[01:13:51.440 --> 01:13:53.640]   petite entreprise
[01:13:53.640 --> 01:13:55.780]   on a vu dans le verre
[01:13:55.780 --> 01:13:58.200]   que c'était élastique
[01:13:58.200 --> 01:14:00.000]   au trompeau parc
[01:14:00.000 --> 01:14:01.100]   ouais ouais
[01:14:01.100 --> 01:14:01.800]   et sinon
[01:14:01.800 --> 01:14:03.600]   non est-ce que je voudrais savoir
[01:14:03.600 --> 01:14:04.940]   comment il va
[01:14:04.940 --> 01:14:05.360]   du coup
[01:14:05.360 --> 01:14:06.260]   il se fait vachement mal
[01:14:06.260 --> 01:14:06.720]   il va bien
[01:14:06.720 --> 01:14:07.180]   parce que
[01:14:07.180 --> 01:14:08.860]   oui il a l'air d'aller très bien
[01:14:08.860 --> 01:14:10.060]   il aurait donc reçu
[01:14:10.060 --> 01:14:11.120]   près de 90 doses
[01:14:11.120 --> 01:14:12.080]   de vaccin anti-covid
[01:14:12.080 --> 01:14:13.580]   en l'espace de 9 mois
[01:14:13.580 --> 01:14:14.040]   mais du coup
[01:14:14.040 --> 01:14:15.060]   il s'en fait 10 par mois
[01:14:15.060 --> 01:14:15.540]   ça va
[01:14:15.540 --> 01:14:15.600]   il a l'air d'aller très bien
[01:14:15.600 --> 01:14:15.600]   il a l'air d'aller très bien
[01:14:15.600 --> 01:14:19.200]   il a déjà eu le covid du coup
[01:14:19.200 --> 01:14:19.960]   pour savoir si ça marche
[01:14:19.960 --> 01:14:20.920]   achat rendez-vous
[01:14:20.920 --> 01:14:22.200]   pour recevoir une piqûre
[01:14:22.200 --> 01:14:23.180]   le sexagénaire
[01:14:23.180 --> 01:14:23.940]   prenait soin d'emporter
[01:14:23.940 --> 01:14:24.600]   son justificatif d'identité
[01:14:24.600 --> 01:14:25.640]   ah c'était un sexagénaire
[01:14:25.640 --> 01:14:26.700]   en omettant toutefois
[01:14:26.700 --> 01:14:27.520]   de présenter sa carte
[01:14:27.520 --> 01:14:28.820]   d'assurance maladie
[01:14:28.820 --> 01:14:30.040]   comme ça il permettait
[01:14:30.040 --> 01:14:30.640]   de pas être payé
[01:14:30.640 --> 01:14:31.520]   par les instances de santé
[01:14:31.520 --> 01:14:32.140]   en revanche
[01:14:32.140 --> 01:14:32.880]   il donnait à chaque fois
[01:14:32.880 --> 01:14:34.340]   une nouvelle carte vaccinale vierge
[01:14:34.340 --> 01:14:35.200]   une fois complète
[01:14:35.200 --> 01:14:35.740]   il la vendait
[01:14:35.740 --> 01:14:36.660]   sans oublier de supprimer
[01:14:36.660 --> 01:14:37.620]   ses données personnelles
[01:14:37.620 --> 01:14:37.820]   en plus à cet âge là
[01:14:37.820 --> 01:14:39.240]   tu doutes moins quoi
[01:14:39.240 --> 01:14:39.720]   tu te dis
[01:14:39.720 --> 01:14:40.340]   bah écoute
[01:14:40.340 --> 01:14:40.660]   voilà
[01:14:40.660 --> 01:14:41.760]   en tout cas c'est un employé
[01:14:41.760 --> 01:14:42.400]   de centre de vaccination
[01:14:42.400 --> 01:14:43.640]   situé à Dredd
[01:14:43.640 --> 01:14:44.880]   qui a reconnu la fraude
[01:14:44.880 --> 01:14:45.680]   et a prévenu
[01:14:45.680 --> 01:14:46.520]   les autres établissements
[01:14:46.520 --> 01:14:47.640]   l'homme a été interpellé
[01:14:47.640 --> 01:14:48.540]   alors qu'il venait
[01:14:48.540 --> 01:14:49.240]   se faire administrer
[01:14:49.240 --> 01:14:50.040]   une énième dose
[01:14:50.040 --> 01:14:51.120]   il s'est jugé là-bas non ?
[01:14:51.120 --> 01:14:52.080]   il s'est fait combien de chine ?
[01:14:52.080 --> 01:14:52.760]   Judge Dredd
[01:14:52.760 --> 01:14:55.520]   petite blague comics
[01:14:55.520 --> 01:14:56.080]   pour les geeks
[01:14:56.080 --> 01:14:57.860]   alors en fait
[01:14:57.860 --> 01:14:58.900]   pour répondre à ta question
[01:14:58.900 --> 01:15:00.360]   d'après le docteur
[01:15:00.360 --> 01:15:02.040]   Gérard Kerzek
[01:15:02.040 --> 01:15:03.440]   médecin urgentiste
[01:15:03.440 --> 01:15:04.180]   et directeur médical
[01:15:04.180 --> 01:15:04.780]   de DocuSimo
[01:15:04.780 --> 01:15:05.460]   donc un pro
[01:15:05.460 --> 01:15:06.880]   on ne connait pas
[01:15:06.880 --> 01:15:07.260]   concrètement
[01:15:07.260 --> 01:15:07.640]   les effets
[01:15:07.640 --> 01:15:08.600]   d'une surstimulation
[01:15:08.600 --> 01:15:09.720]   du système immunitaire
[01:15:09.720 --> 01:15:10.160]   en revanche
[01:15:10.160 --> 01:15:10.760]   le premier risque
[01:15:10.760 --> 01:15:11.440]   est de déclencher
[01:15:11.440 --> 01:15:12.160]   une surréalisation
[01:15:12.400 --> 01:15:13.340]   du système immunitaire
[01:15:13.340 --> 01:15:14.040]   ainsi que des réactions
[01:15:14.040 --> 01:15:14.580]   inflammatoires
[01:15:14.580 --> 01:15:15.080]   d'autre part
[01:15:15.080 --> 01:15:16.440]   les défenses immunitaires
[01:15:16.440 --> 01:15:16.800]   peuvent atteindre
[01:15:16.800 --> 01:15:17.180]   un pic
[01:15:17.180 --> 01:15:17.720]   un plateau
[01:15:17.720 --> 01:15:18.420]   qui se traduit
[01:15:18.420 --> 01:15:18.940]   par un phénomène
[01:15:18.940 --> 01:15:19.560]   de saturation
[01:15:19.560 --> 01:15:20.580]   ce qui semble certain
[01:15:20.580 --> 01:15:20.860]   en revanche
[01:15:20.860 --> 01:15:21.460]   c'est que ce n'est pas
[01:15:21.460 --> 01:15:22.220]   parce qu'on se fait vacciner
[01:15:22.220 --> 01:15:23.100]   4 fois en 7 fois
[01:15:23.100 --> 01:15:24.300]   qu'on est plus protégé
[01:15:24.300 --> 01:15:25.280]   au contraire
[01:15:25.280 --> 01:15:25.640]   les effets
[01:15:25.640 --> 01:15:26.080]   pourraient être
[01:15:26.080 --> 01:15:27.060]   plus délétères
[01:15:27.060 --> 01:15:28.220]   que salutaires
[01:15:28.220 --> 01:15:29.820]   délétères que salutaires
[01:15:29.820 --> 01:15:30.880]   un album d'MC Solar
[01:15:30.880 --> 01:15:33.220]   dispo sur Spotify
[01:15:33.220 --> 01:15:35.220]   dernière question
[01:15:35.220 --> 01:15:35.760]   après on passera
[01:15:35.760 --> 01:15:36.280]   aux questions
[01:15:36.280 --> 01:15:37.640]   que les auditeurs
[01:15:37.640 --> 01:15:38.540]   tiennent à vous poser
[01:15:38.540 --> 01:15:39.640]   à Sébastien
[01:15:39.640 --> 01:15:40.340]   à Eleonore
[01:15:40.340 --> 01:15:40.940]   et aussi à Adrien
[01:15:40.940 --> 01:15:41.920]   au Canada
[01:15:41.920 --> 01:15:42.380]   un homme
[01:15:42.380 --> 01:15:42.840]   va devoir payer
[01:15:42.840 --> 01:15:43.180]   une amende
[01:15:43.180 --> 01:15:44.540]   de 9 millions de dollars
[01:15:44.540 --> 01:15:45.400]   à votre avis
[01:15:45.400 --> 01:15:46.280]   pourquoi ?
[01:15:46.280 --> 01:15:46.780]   9 millions
[01:15:46.780 --> 01:15:47.960]   9 millions c'est énorme
[01:15:47.960 --> 01:15:48.600]   9 millions de dollars
[01:15:48.600 --> 01:15:49.100]   pour un vol
[01:15:49.100 --> 01:15:49.980]   dans un musée
[01:15:49.980 --> 01:15:51.080]   il a volé quelque chose
[01:15:51.080 --> 01:15:51.760]   ce n'est pas un musée
[01:15:51.760 --> 01:15:52.400]   il y a un truc
[01:15:52.400 --> 01:15:52.840]   qui a changé
[01:15:52.840 --> 01:15:53.380]   dans la pièce
[01:15:53.380 --> 01:15:54.000]   la lumière
[01:15:54.000 --> 01:15:54.800]   s'est allumée
[01:15:54.800 --> 01:15:55.960]   derrière toi
[01:15:55.960 --> 01:15:57.180]   peut-être le couloir
[01:15:57.180 --> 01:15:57.840]   peut-être un voisin
[01:15:57.840 --> 01:15:58.440]   qui va venir gueuler
[01:15:58.440 --> 01:16:00.560]   elle a enlevé
[01:16:00.560 --> 01:16:01.100]   un petit bout
[01:16:01.100 --> 01:16:01.980]   de l'écouteur
[01:16:01.980 --> 01:16:03.820]   est-ce qu'il a volé
[01:16:03.820 --> 01:16:04.680]   dans un musée ?
[01:16:04.680 --> 01:16:05.720]   pas un musée
[01:16:05.720 --> 01:16:06.440]   alors dites-vous
[01:16:06.440 --> 01:16:07.160]   que si c'est 9 millions
[01:16:07.160 --> 01:16:07.800]   c'est qu'il a volé
[01:16:07.800 --> 01:16:08.540]   une grosse dose
[01:16:08.540 --> 01:16:10.220]   beaucoup beaucoup
[01:16:10.220 --> 01:16:10.960]   de lecteurs DVD
[01:16:10.960 --> 01:16:12.660]   comme dans Fast and Furious
[01:16:12.660 --> 01:16:14.040]   c'est dans lequel ?
[01:16:14.040 --> 01:16:14.620]   le premier
[01:16:14.620 --> 01:16:15.580]   ils volent des lecteurs DVD
[01:16:15.580 --> 01:16:16.200]   ils sont millionnaires
[01:16:16.200 --> 01:16:17.540]   c'est vrai ?
[01:16:17.540 --> 01:16:18.460]   en 9 épisodes
[01:16:18.460 --> 01:16:19.280]   ça a beaucoup évolué
[01:16:19.280 --> 01:16:20.980]   non non là c'est un
[01:16:20.980 --> 01:16:21.940]   mais par contre c'est ça
[01:16:21.940 --> 01:16:22.220]   c'est un truc
[01:16:22.220 --> 01:16:23.000]   en très grosse quantité
[01:16:23.000 --> 01:16:25.080]   et c'est dans des magasins ?
[01:16:25.080 --> 01:16:26.200]   non mais c'est lié
[01:16:26.200 --> 01:16:26.520]   au pays
[01:16:26.520 --> 01:16:27.460]   Canada
[01:16:27.460 --> 01:16:27.940]   pensez Canada
[01:16:27.940 --> 01:16:29.120]   le sirop d'érable
[01:16:29.120 --> 01:16:29.640]   un peu facile
[01:16:29.640 --> 01:16:30.160]   c'est un peu
[01:16:30.160 --> 01:16:31.600]   c'est vraiment ridicule
[01:16:31.600 --> 01:16:31.900]   en plus
[01:16:31.900 --> 01:16:33.140]   si c'était la bonne réponse
[01:16:33.140 --> 01:16:33.620]   ce serait genre
[01:16:33.620 --> 01:16:34.060]   et donc quoi
[01:16:34.060 --> 01:16:34.600]   un caribou
[01:16:34.600 --> 01:16:35.940]   ils ont volé
[01:16:35.940 --> 01:16:37.080]   près de 5000 tonnes
[01:16:37.080 --> 01:16:38.160]   de sirop d'érable
[01:16:38.160 --> 01:16:40.520]   à Québécois
[01:16:40.520 --> 01:16:40.880]   condamné
[01:16:40.880 --> 01:16:41.640]   pour le plus important
[01:16:41.640 --> 01:16:42.500]   vol de sirop d'érable
[01:16:42.500 --> 01:16:43.620]   de l'histoire du pays
[01:16:43.620 --> 01:16:44.700]   et pour faire quoi ?
[01:16:44.700 --> 01:16:45.080]   devra payer
[01:16:45.080 --> 01:16:46.800]   plus de 9 millions de dollars
[01:16:46.800 --> 01:16:48.000]   parce qu'il a volé
[01:16:48.000 --> 01:16:48.840]   aussi plus de 15 millions
[01:16:48.840 --> 01:16:49.320]   de gaufres
[01:16:49.320 --> 01:16:50.240]   donc c'est aussi pas mal
[01:16:50.240 --> 01:16:52.260]   l'affaire remonte à 2012
[01:16:52.260 --> 01:16:53.020]   et vient d'être tranchée
[01:16:53.020 --> 01:16:54.140]   par la Cour suprême du Canada
[01:16:54.140 --> 01:16:54.840]   Richard Vallière
[01:16:54.840 --> 01:16:55.780]   et 15 autres personnes
[01:16:55.780 --> 01:16:56.940]   avaient dérobé 5000 tonnes
[01:16:56.940 --> 01:16:57.800]   de sirop il y a 10 ans
[01:16:57.800 --> 01:16:58.500]   dans un entrepôt
[01:16:58.500 --> 01:16:59.940]   à 150 kilomètres
[01:16:59.940 --> 01:17:00.480]   de Montréal
[01:17:00.480 --> 01:17:01.920]   un bustin estimé
[01:17:01.920 --> 01:17:03.400]   à environ 18 millions de dollars
[01:17:03.400 --> 01:17:03.800]   donc au final
[01:17:03.800 --> 01:17:04.460]   pas cher payé
[01:17:04.460 --> 01:17:05.760]   la revente avait rapporté
[01:17:05.760 --> 01:17:06.640]   10 millions de dollars
[01:17:06.640 --> 01:17:07.060]   au groupe
[01:17:07.060 --> 01:17:08.360]   reconnu coupable
[01:17:08.360 --> 01:17:09.540]   de fraude, trafic et vol
[01:17:09.540 --> 01:17:10.360]   le Québécois a été condamné
[01:17:10.360 --> 01:17:10.820]   en 2016
[01:17:10.820 --> 01:17:11.680]   à 8 ans d'emprisonnement
[01:17:11.680 --> 01:17:12.060]   et à une amende
[01:17:12.060 --> 01:17:12.960]   de plus de 9 millions
[01:17:12.960 --> 01:17:13.980]   de dollars canadiens
[01:17:13.980 --> 01:17:15.200]   celle-ci avait été réduite
[01:17:15.200 --> 01:17:16.300]   en appel à 1 million de dollars
[01:17:16.300 --> 01:17:16.860]   somme correspondant
[01:17:16.860 --> 01:17:17.700]   à ses profits personnels
[01:17:17.700 --> 01:17:18.660]   mais la Cour suprême du Canada
[01:17:18.660 --> 01:17:19.400]   a renversé
[01:17:19.400 --> 01:17:20.920]   à l'unanimité ce jeudi
[01:17:20.920 --> 01:17:22.160]   l'arrêt de la Cour d'appel
[01:17:22.160 --> 01:17:23.020]   elle a estimé
[01:17:23.020 --> 01:17:23.740]   que Richard Vallière
[01:17:23.740 --> 01:17:24.800]   qui est toujours derrière les barreaux
[01:17:24.800 --> 01:17:25.540]   devait payer une amende
[01:17:25.540 --> 01:17:26.760]   égale à la valeur du bien
[01:17:26.760 --> 01:17:27.720]   qu'il était en sa position
